title,year,genre,runtime,rating,synopsis,director,vote
Restless River,(2019),"
Drama            ",98 min,6.5,"
    Kuujjuaq, Nunavik 1940s. Surprised at the loss of her innocence, the young Inuk Elsa draws courage from her rugged land to become a woman as strong and independent as the restless river ...                See full summary »
",Marie-Hélène Cousineau,17
Super Mix,(2019),"
Action, Adventure, Drama            ",127 min,6.0,"
    In a post-apocalyptic world, morality is tested and a harsh environment has formed demented madmen. Exploring themes of mental illness and equality, two strangers - a mute, and a man fleeing his past - search for a haven called 'Eve.'",Joshua Armstrong,5
Prica o Miki mravu,(2019),"
Animation            ",46 min,6.8,"
Add a Plot
",Sanja Savic,5
Jack Jonah,(2019),"
Biography, Family            ",82 min,2.0,"
    Based on a true story, this film by JCFilms follows the path of the Jonah Family in remembrance of the loss of their son, Jack, to a heroin overdose. The film brings awareness to the drug/...                See full summary »
",Jason Campbell,8
Confound,(2019),"
Action            ",112 min,4.7,"
    A 12 year old girl wakes up in a forest with amnesia and an arsenal of bible knowledge and martial arts skills. When she discovers that some mysterious men are after her, she must escape ...                See full summary »
",Andrew Jacob Brown,6
Si yo fuera el invierno mismo,(2019),"
Drama            ",92 min,5.5,"
    A mysterious and soulful exploration of the complexity of mourning and letting go of a love that is lost.",Jazmín López,12
Stalker: The Curse of the Zone,(2019),"
Drama, Mystery, Sci-Fi            ",,8.0,"
    Sometime in the near future within a place of rot and wasted dreams, four men come looking for the Hall of Wishes within the contaminated zone of post-apocalyptic earth.",Valeri Lilov,444
Narco Soldiers,(2019),"
Action            ",94 min,3.4,"
    Narco Soldiers is a timely, action-packed crime thriller that explores the resurgence of the Caribbean drug routes and one couple's violent, Bonnie and Clyde-style rise to power.",Felix Limardo,53
The Red Ghost,(2019),"
Adventure, Drama, History            ",96 min,6.7,"
    December 30, 1941. Vyazma ('Vyazemsky cauldron') is a small detachment of Soviet soldiers, by fatal coincidence, in an unequal battle with a special unit of the Wehrmacht. However, none of ...                See full summary »
",Andrey Bogatyrev,16
Desterro,(2019),"
Drama            ",122 min,5.1,"
    A young woman suddenly disappears, leaving her husband and son in disarray.",Maria Clara Escobar,35
A Christmas Carol,(I) (2019),"
Drama, Fantasy, Music            ",75 min,7.2,"
    It was the night before Christmas. As the towns folk merried themselves at the annual Victorian fayre, Scrooge sat in his counting-house tallying his books. He was soon to set off on a ...                See full summary »
",Marc Hamill,50
Instrucciones para la poligamia,(2019),"
Comedy            ",95 min,4.1,"
    Fabiana is willing to do anything to achieve her goal: to be a mother. Even, to conspire with a friend, manipulate a man and ask a stranger for sperm.",Sebastián Sarquís,9
