title,year,genre,runtime,rating,synopsis,director,vote
Halloween III,(2019),"
Horror            ",81 min,5.1,"
    Michael Myers is loose in Haddonfield again for one last night. Can Maxwell Loomis stop him once and for all? Will Judy strode and her friends survive? Find out in CNT FILMS HALLOWEEN 3",Dakota Miller,10
Rush: Cinema Strangiato 2019,(2019),"
Music            ",120 min,8.7,"
    The Holy Trinity of Rock returns to the big screen on Wednesday, August 21, when the first ""Annual Exercise in Fan Indulgence"" Cinema Strangiato brings Rush fans together in movie theatres ...                See full summary »
",Dale Heslip,96
Dandupalya 4,(2019),"
Romance            ",121 min,5.4,"
    Based on Dandupalya, the real-life notorious gang rampant during the 1980s, the movie depicts their sadistic crimes against innocent people.",T.K. Nayak,5
Ranarangam,(2019),"
Action, Drama            ",138 min,5.9,"
    Deva (Sharwanand) is a powerful gangster from Visakhapatnam who moves to Spain to put his past behind him. But what happens when he realises he can't shake off his enemies no matter where he goes?",Sudheer Varma,361
Mission Mangal,(2019),"
Drama, History            ",130 min,6.5,"
    Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars.",Jagan Shakti,10172
Hodináruv ucen,(2019),"
Comedy, Family, Fantasy            ",,6.6,"
Add a Plot
",Jitka Rudolfová,37
Batla House,(2019),"
Action, Drama, Thriller            ",146 min,7.2,"
    After a deadly encounter, a police officer struggles to catch the fugitives and prove the police acted lawfully, while being despised by the whole nation.",Nikkhil Advani,8428
La Maravilla,(2019),"
Comedy, Crime            ",80 min,6.1,"
    Papi and Yiyo inherit an old building, unaware that the tenants hide a tricky secret.",David Pagan Mariñez,35
Orsai,(2019),"
Comedy, Family, Romance            ",100 min,6.7,"
    Rafael is the oldest brother of a close family belonging to generation of Olimpia Soccer club fans, he is in charge of managing the family's mini market. Due to his brothers mistake he ...                See full summary »
",Emiliano Gómez,12
Cat in the Wall,(2019),"
Drama            ",92 min,5.5,"
    South-East London, in the multicultural neighborhood of Peckham, in a municipal building. A Bulgarian family goes into serious conflict with their neighbors due to abandoned cat.",Vesela Kazakova,188
47 Meters Down: Uncaged,(2019),"
Adventure, Drama, Horror            ",90 min,5.0,"
    Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.",Johannes Roberts,16430
Araña,(2019),"
Crime, Drama, Thriller            ",105 min,6.4,"
    Three friends are part of an opposition group in the chaotic Chile of the early 70's and together commit a political crime that changes the history of the country and incidentally involves them in a betrayal that separates them forever.",Andrés Wood,400
A Message Through Time,(2019),"
Drama, Family            ",60 min,3.1,"
    A modern girl moves to a new school and is bullied. She throws a page from her journal into a hollow tree, and a monk from medieval England receives it. They begin a correspondence through time to help each other.",Douglas Dunklin,14
The Nest,(2019),"
Horror, Mystery            ",107 min,5.7,"
    Samuel is a paraplegic boy who lives with his mother Elena in an isolated mansion. When he meets Denise, he finds the strength to open up to the world. Elena won't let him go so easily, and she is ready to do whatever it takes to stop him.",Roberto De Feo,744
Amjeon,(2019),"
Horror, Mystery            ",86 min,4.8,"
    Mi-Jung (Seo Ye-Ji ) is a rookie film director and she has been preparing a horror film for the past 8 years. One day, Mi-Jung hears about a movie which was banned. Mi-Jung wants to know ...                See full summary »
",Kim Jin-won,143
Gimmick,(2019),"
Horror            ",153 min,4.6,"
    A happy-go-lucky poor guy Gani and wrestler Raani struggle to make their love story successful as Raani's father puts in all he can to separate the two lovers.",Naganna,20
Nada a Perder 2,(2019),"
Biography, Drama            ",96 min,3.5,"
    Part 2 of Edir Macedo's self-financed biopic.",Alexandre Avancini,540
Pa-go,(2019),"
Drama            ",89 min,6.1,"
    A woman cop, posted along with her teenage daughter to an island village, pursues two men she suspects of forcing an underage girl into prostitution,an investigation the tourism-oriented mayor wants to derail.",Jung-bum Park,19
Makmum,(2019),"
Horror            ",95 min,4.3,"
    While in the dormitory, the resident of the dormitory is terrorized by a supernatural creature. There is a kind of supernatural creature called ""Makmum"" (the follower) that follows them during prayer.",Hadrah Daeng Ratu,122
Shantilal O Projapoti Rohoshyo,(2019),"
Thriller            ",103 min,6.2,"
    A deadbeat weather reporter at an English newspaper in Kolkata evolves into a detective when he pursues a deeply buried story about a movie star.",Pratim D. Gupta,67
Evaru,(2019),"
Crime, Drama, Thriller            ",118 min,8.2,"
    Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.",Venkat Ramji,2961
The Fugitive,(2019),"
Drama, History            ",98 min,3.6,"
    Six months after PETA's failure to fight Nippon, Hardo returns to his village in Blora. His presence is smelled by Nippon, tracked and pursued. In a chase one day and night before the ...                See full summary »
",Richard Oh,52
This Earth of Mankind,(2019),"
Drama, History            ",181 min,6.5,"
    A native Javanese boy and a mixed-Dutch girl fall in love during the early 20th-century colonial turbulence in Dutch East Indies (now Indonesia).",Hanung Bramantyo,463
Todos Cambiamos,(2019),"
Drama            ",93 min,7.0,"
    The Ponce family is the perfect family that lives in the quiet mountain town of Bambito, Panama. Federico is a successful father. Carol is the loving mother of three wonderful children. ...                See full summary »
",Arturo Montenegro,37
Baamum Nafi,(2019),"
Drama            ",107 min,7.4,"
    a fight between an Imam and his powerful brother over their childrens' marriage. At stake: how a small community slowly drifts towards extremism.",Mamadou Dia,34
Heroic Losers,(2019),"
Adventure, Comedy, Crime            ",116 min,7.4,"
    In times of the infamous Argentinian Corralito, the neighbors of a little town trace a plan to recover the money they lost after learning that their bank manager and a corrupt lawyer have stolen it.",Sebastián Borensztein,4719
Gubbi Mele Bramhastra,(2019),"
Comedy            ",143 min,5.0,"
    Software engineer Venkata Krishna Gubbi meets Purple Priya, and falls head over heels for her. But that's only the beginning his problems. All hell breaks loose once Gubbi finds himself on ...                See full summary »
",Sujay Shastry,104
Na bank sie uda,(2019),"
Comedy, Crime            ",,4.4,"
    General prosecutor is asking young police computer expert for help in bank robbery case where three elderly gentlemen have been red handed inside the vault. From the footage collect from ...                See full summary »
",Szymon Jakubowski,220
Héraðið,(2019),"
Comedy, Drama            ",92 min,6.7,"
    A widowed farmer begins a new life on her own terms by fighting against corruption and injustice in her community.",Grímur Hákonarson,365
Vitalina Varela,(2019),"
Drama            ",124 min,7.1,"
    A Cape Verdean woman navigates her way through Lisbon, following the scanty physical traces her deceased husband left behind and discovering his secret, illicit life.",Pedro Costa,700
Days of the Bagnold Summer,(2019),"
Comedy            ",86 min,6.7,"
    A teenager spends his summer listening to heavy metal music and trying to get along with his librarian mom.",Simon Bird,109
Angel of Mine,(2019),"
Drama, Mystery, Thriller            ",98 min,6.5,"
    A woman grieving over the death of her daughter loses grip of reality when she begins to think her girl may still be alive.",Kim Farrant,7311
1 Interrogation,(2019),"
Crime            ",,2.4,"
    Detective Bill Daniels has spent the last 40 years in the interrogation unit. Some are criminals, some are victims. Faced with the truth, some lie, some are defiant and some find redemption.",Dan Hewitt Owens,8
Cetiri ruze,(2019),"
Crime, Drama            ",100 min,7.6,"
    The film takes place in Belgrade within the course of 24 hours. It follows a few stories and speaks about young urban characters, their lives, their ideals and feelings, and raises the question of whether they still have them.",Vasilije Nikitovic,757
In the Middle of the Labyrinth,(2019),"
Drama            ",65 min,5.8,"
    Hanging out at the skatepark, studying videos of the trick he wants to learn (frontside tailslide), a punk show now and then: taciturn teen Renzo's life is uneventful until he meets Zoe, a ...                See full summary »
",Salomón Pérez,5
Oroslan,(2019),"
Drama            ",72 min,6.6,"
    When a man known as Oroslan dies, the news quickly spreads through a little village, causing grief and emotion. Later on, actions become words and words become stories. In order to overcome...                See full summary »
",Matjaz Ivanisin,45
"And Ai, Thank You!",(2019),"
Comedy            ",80 min,8.0,"
Add a Plot
",Joven Tan,7
Comali,(2019),"
Comedy            ",143 min,6.9,"
    A youngster in his mid-30s goes through a series of struggles after coming to terms with the fact that he was in coma for 16 years.",Pradeep Ranganathan,1777
Longa noite,(2019),"
Drama, History            ",93 min,5.9,"
    Anxo is a man that returns to his home village in the Galician countryside in Franco-era Spain after the war.",Eloy Enciso,74
Goodbye Mother,(2019),"
Comedy, Drama, Romance            ",106 min,7.4,"
    Van, the heir of a Vietnamese clan, returns home from the US the first time in 9 years for the move of his father's tomb. The whole family is surprised upon finding him going with a young ...                See full summary »
",Trinh Dinh Le Minh,186
Avenger Dogs,(I) (2019),"
Animation            ",71 min,4.0,"
    When the universe's highest-flying dogs warp into outer space, Skyfetcher and Spaceslobber get a call from canine headquarters! It seems an unknown force is attacking unsuspecting planets, ...                See full summary »
",Jason Wright,98
Camille,(2019),"
Biography            ",90 min,7.0,"
    The story of Camille Lepage, a French photojournalist who was killed at age 26 in the Central African Republic.",Boris Lojkine,141
O fim do Mundo,(2019),"
Action, Crime, Drama            ",107 min,6.7,"
    Spira, 18, spent the last eight years in remand school and returns to Reboleira, a slum in Lisbon. His friends Giovani and Chandi are still there, as are the locals, deals and parties. But ...                See full summary »
",Basil da Cunha,35
Sdsdsdsdsdsds,(2019),"
Drama            ",600 min,6.8,"
Add a Plot
",Marco Romano,21
Ivana the Terrible,(2019),"
Drama            ",86 min,6.6,"
    It's based on the story of a crisis that took place in the summer of 2017 in the life of Mladenovic, a Serbian-born director living in Romania.",Ivana Mladenovic,157
Les enfants d'Isadora,(2019),"
Drama            ",84 min,6.3,"
    After the death of her two children, the legendary dancer Isadora Duncan composed a farewell solo entitled ""The Mother"". A century later, four women meet this upsetting dance.",Damien Manivel,95
The Mummy Rebirth,(2019),"
Action, Horror            ",80 min,4.0,"
    Two treasure hunters uncover a sealed tomb and awaken a mummy that has waited years to come back and wipe humanity from the face of the Earth. It's a race against time as they try to stop the Mummy from wreaking havoc on the modern world.",Khu,720
The Struggle,(II) (2019),"
Action            ",96 min,2.1,"
    A story about Debra and her daughter Tracey struggles in the heart of Memphis. Debra tries to keep her daughter out of danger and off the streets but it doesn't help with the surrounding of...                See full summary »
",Robert L. Parker III,38
Instinct,(III) (2019),"
Drama, Thriller            ",108 min,6.3,"
    In spite of her expertise and experience, a seasoned psychologist is completely infatuated by the sex offender she is treating in a penal institution.",Halina Reijn,936
La bronca,(2019),"
Drama            ",103 min,6.9,"
    A teenager who abandoned a violent Peru in the 90s, reunites in Montreal with this father, who now has a new Canadian family.",Daniel Vega Vidal,36
La paloma y el lobo,(2019),"
Drama            ",106 min,6.9,"
    Displaced by the violence that swept their town, Paloma and Lobo survive trying to love each other. Through thirst, fear and nostalgia, Paloma wishes to go back home but Lobo lives tied to a memory that stops him from returning.",Carlos Lenin,24
Annabellum: The Curse of Salem,(2019),"
Horror, Mystery, Thriller            ",76 min,2.6,"
    In the form of an old doll a vengeful witches curse from 1692 Salem is released upon a family trapped in a historic English mansion.",Craig Rees,991
South Terminal,(2019),"
Drama            ",96 min,5.6,"
    In a country plunging into armed conflict, a doctor tries to do his duty against all odds, until the day his destiny is turned upside down.",Rabah Ameur-Zaïmeche,82
Heer Maan Ja,(2019),"
Action, Comedy, Family            ",146 min,5.6,"
    Heer and Kabeer part ways following a misunderstanding and a tragedy. Years later, there is an encounter which leads to a roller coaster ride of a journey while Heer is in danger. Will Kabir manage to save Heer before time runs out?",Azfar Jafri,165
Technoboss,(2019),"
Musical, Romance            ",112 min,6.2,"
    Retirement is coming soon for Luís Rovisco. The songs he dreams up during the day make up for all the injustices in his life. But standing before the receptionist Lucinda, he finds himself singing to a different tune.",João Nicolau,93
Notre Dame,(2019),"
Comedy            ",88 min,5.6,"
    Maud wins the opportunity to refurbish the iconic Notre Dame. Personal and professional issues stand in comical tension as she goes through an emotional storm.",Valérie Donzelli,261
Echo,(2019),"
Drama            ",79 min,7.1,"
    Iceland, Christmas time. As everyone prepares for the holidays, a peculiar atmosphere falls upon the country revealing emotions of both excitement and concern. In the middle of the ...                See full summary »
",Rúnar Rúnarsson,296
Merveilles à Montfermeil,(2019),"
Comedy            ",109 min,3.3,"
    Emmanuelle Joly, mayor of Montfermeil, was elected on the background of an original political program. But the personal difficulties of the members of the municipal team rub off on the implementation of this unprecedented policy.",Jeanne Balibar,53
Artik,(2019),"
Horror, Thriller            ",78 min,4.3,"
    A comic book obsessed serial killer teaches his son how to get away with a series of brutal murders until the boy befriends a mysterious man who threatens to expose everything.",Tom Botchii Skowronski,580
Cerulean Blue,(2019),"
Comedy, Drama            ",72 min,6.6,"
    An introvert's urgent road trip to reclaim his lost love is derailed when he meets a free-spirited woman who challenges all of his ideals.",Adrian Ortega,18
H is for Happiness,(2019),"
Family            ",98 min,6.3,"
    A twelve year old girl with boundless optimism and a unique view of the world, is inspired by the strange new boy at school and sets out to mend her broken family - whatever it takes.",John Sheedy,158
Exit 0,(2019),"
Thriller            ",95 min,6.5,"
    A young couple sets out on a weekend getaway in hopes of mending their failing relationship. However, a seemingly innocent weekend turns dark when the man discovers a videotape chronicling the events of a murder in his very own hotel room from years before.",E.B. Hughes,1894
Stuck,(IX) (2019),"
Drama            ",,9.6,"
    A ballerina with a baby and a coke habit. A regret-filled sister caught between her head and her heart. A country singer hiding out in her hometown. And at the center - one woman struggling...                See full summary »
",Jenni Tooley,12
Under Cover,(2019),"
Action            ",,6.1,"
Add a Plot
",Kin-Bong Mak,52
Wilcox,(2019),"
Drama            ",66 min,5.9,"
    Wilcox exists outside the norm. Deserter, delinquent, or survivalist, he quietly roams, looking to put down roots or for what could simply be called freedom.",Denis Côté,67
Die fruchtbaren Jahre sind vorbei,(2019),"
Comedy            ",90 min,7.2,"
    a zany, contemporary comedy about the misfortunes of three thirtysomething girlfriends dealing with the social pressure that focuses on children, careers and relationships.",Natascha Beller,50
The Shepherd,(2019),"
Drama            ",91 min,7.9,"
    Hungary, 1944 - The main character is an old shepherd, who lives alone on a ranch. After his daughter got killed by Nazis, he decided in his grief to save as many Jewish lives as possible.",László Illés,21
Giraffe,(2019),"
Drama            ",82 min,6.7,"
    A Danish summer: long days turn into blue nights. A tunnel is being built to connect Denmark and Germany. Three people meet and part ways again.",Anna Sofie Hartmann,43
Automation,(2019),"
Sci-Fi            ",92 min,4.7,"
    A workplace robot, AUTO, transforms into a killing machine when he discovers he will be replaced by a more efficient model. AUTO fears being terminated and will stop at nothing to prevent ...                See full summary »
",Garo Setian,654
Chasing After You,(2019),"
Drama            ",84 min,6.9,"
    Chasing After You takes a twist on modern romance, after a young male pursues a single mother with no interest in a relationship; other than her one with God. Michael, the leading male, ...                See full summary »
",Paige B. Alston,38
Itsy Bitsy,(II) (2019),"
Fantasy, Horror, Mystery            ",94 min,5.0,"
    Based on the centuries old poem, a family moves into a secluded mansion where they soon find themselves being targeted by an entity taking the form of a giant spider.",Micah Gallo,2555
Baghdad in My Shadow,(2019),"
Thriller            ",105 min,6.7,"
    ""Abu Nawas"" is a trendy café and popular hangout for artists, communists and gay Iraqi exiles in London, it's close to the Salafist Mosque. When Nasseer, a fanatic religious youth and ...                See full summary »
",Samir,100
Ovid and the Art of Love,(2019),"
Drama            ",120 min,6.1,"
    In this fresh retelling of the famed Ancient Roman poet's life set in contemporary Detroit, the young Ovid finds his life in danger when he clashes with the emperor by writing a guide to love and seduction.",Esmé von Hoffman,72
Das freiwillige Jahr,(2019),"
Drama            ",86 min,6.3,"
    Urs is a single doctor who looks after his alcoholic brother Falk. Trying to prevent his daughter Jette from getting stuck in their little province, he persuades her to volunteer in South America.",Ulrich Köhler,77
Smoke Between Trees,(2019),"
Drama            ",105 min,7.6,"
    Smoke Between Trees is an emotionally rich story of a broken man whose life is forever changed when he is reunited with his grandson.",Michael Joy,7
Surge of Dawn,(2019),"
Action            ",,7.9,"
    The next chapter in the Surge of Power film series. Cinema's first openly gay superhero Surge returns for the crossover event of the year. This time Big City's greatest hero must team up ...                See full summary »
",Alexander Fernandez,23
Mina-anud,(2019),"
Comedy, Crime, Drama            ",145 min,8.0,"
    Paradise is upturned when 3 tons of cocaine wash up on the peaceful shores of a fishing village. Two local surfers must decide if the lure of a richer tomorrow is really worth risking family and freedom.",Kerwin Go,11
Douze mille,(2019),"
Drama            ",111 min,5.0,"
    Frank is fired from a car repair workshop where he works illegally. In his area, it's the zone. Although very attached to his life with Maroussia, Frank must leave to find work elsewhere, ...                See full summary »
",Nadège Trebal,55
Jeune Juliette,(2019),"
Comedy, Drama            ",97 min,6.9,"
    Juliette is in her second year of high school and she has to handle the mockeries of other students. Complexed by her overweight, the young girl enters teenage years full of twists and turns.",Anne Émond,198
Ye Re Ye Re Paisa 2,(2019),"
Drama            ",134 min,5.2,"
    Jaggu is faced with a crisis when he isn't able to fulfill his wife's dreams of a better lifestyle or his mother's wish for a grandchild. Jaggu's wife will bear his child only when they ...                See full summary »
",Hemant Dhome,52
Mushkil,(2019),"
Horror            ",130 min,5.4,"
    While vacationing in Greece, four friends are rattled by a series of supernatural incidents that get increasingly dangerous. They must now team up with their tour guide Vedant and a ...                See full summary »
",Rajiv S. Ruia,513
Jabariya Jodi,(2019),"
Action, Comedy, Drama            ",125 min,4.2,"
    A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage.",Prashant Singh,1052
Ambili,(2019),"
Adventure, Comedy, Drama            ",140 min,7.0,"
    Guileless like a child and ever so full of life, Ambili is beloved by everyone in his village. The story traces Ambili's outlook towards life and of challenges others surrounding him that face him on an everyday basis.",Johnpaul George,1002
Kurukshetra,(2019),"
History, War            ",185 min,7.0,"
    The film is loosely based on the Indian epic Mahabharata and poet Ranna's Gadhayuddha with the story centered upon Duryodhana, a Kaurava king.",Naganna,933
"Exorcism at 60,000 Feet",(2019),"
Comedy, Horror            ",95 min,4.1,"
    On the last flight of a transatlantic passenger airliner, a priest, a rabbi and the airline crew team together to save a plane from a pandemic of demonic possessions.",Chad Ferrin,258
Pranaam,(2019),"
Action, Crime, Drama            ",120 min,4.4,"
    A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster.",Sanjiv Jaiswal,231
Chicken Curry Law,(2019),"
Drama            ",127 min,5.2,"
    An ambitious and innocent girl falls prey to the power of money and politics.",Shekhar Sirrinn,27
Blood Myth,(2019),"
Horror            ",81 min,3.1,"
    A journalist desperately tries to find his missing fiancee and finally uncover the truth behind a sinister folklore, leading him down a dangerous road of discovery.",Sean Brown,293
7500,(2019),"
Drama, Thriller            ",92 min,5.9,"
    A pilot's aircraft is hijacked by terrorists.",Patrick Vollrath,1138
The Dare,(2019),"
Horror, Mystery, Thriller            ",94 min,4.9,"
    A rare family night for Jay takes a brutal twist when he awakens in a basement with three other prisoners. As their vengeful captor runs riot, Jay engages in a twisted battle to solve the puzzle to his past and save his family's future.",Giles Alderson,543
Rapid Eye Movement,(2019),"
Thriller            ",108 min,4.2,"
    A publicity seeking radio DJ is driven to the edge of insanity when he attempts to break the 11 day world record for staying awake-under the threat of a deranged caller who will kill him if he falls asleep.",Peter Bishai,214
Stained,(2019),"
Horror, Thriller            ",102 min,2.5,"
    A terrifying, modern adaptation of Shakespeare's Macbeth set in Scotland, CA. Scorning the mediocrity of their mundane lives, John and Jane Macbeth carry out a horrific plan to make the American dream a reality.",Joston Theney,109
Kempe Gowda 2,(2019),"
Action, Thriller            ",139 min,8.1,"
    An action packed thriller showcasing the crimes committed by politicians & mafia leaders & the way it is tackeled by Strict police officer Kempegowda.",Shankar Gowda,25
Till Death: Azalea's Wrath,(2019),"
Horror            ",105 min,3.3,"
    After losing their child, a couple starts a fresh chapter in a new home where evil spirits lurk. Meanwhile, a robber experiences the same dark omens.",Sein Qudsi,19
Kathanam,(2019),"
Mystery, Thriller            ",117 min,3.9,"
    Anu (Anasuya Kasaba) an aspiring director develops a script on a producer's request. Twist in the tale arises when the murders scripted in the story start happening in real life. The parallel story is crux of Kathanam.",Rajesh Nadendla,67
Panther,(2019),"
Action            ",127 min,4.4,"
    After a series of bomb blasts in Mumbai, terrorists threaten to do the same in Kolkata and Delhi unless their demands are met. Panther, the country's best RAW agent, embarks on a solo mission to rout the terrorist outfit. Will he succeed?",Anshuman Pratyush,150
Jack Stone: End of the Line,(2019),"
Action, Thriller            ",64 min,7.4,"
    Recovering from the attempt on his life, Jack Stone sets his sights on his former boss and most trusted ally; General Howard Doyle, the man now known to be the founder of the Vortex crime ...                See full summary »
",Tony Cole,16
Kurukshetra 3D,(2019),"
History            ",,7.8,"
Add a Plot
",Munirathna,13
Vestuves/the Wedding,(2019),"
Romance            ",80 min,3.8,"
    A corrupt politician tries to earn some decency points by marrying his daughter to a guy from the crowd.",Vygantas Bachmackij,105
Olessia,(2019),"
Drama, Musical            ",120 min,7.9,"
    Olessia, an Anglican girl left over with a care taker in Kerala by their business parents settled in Germany. As time pass by, when they had a new born, the infant (Hash) of 2 months old is...                See full summary »
",Nazrudinsha,39
La sainte famille,(2019),"
Comedy, Drama            ",90 min,5.8,"
    Jean, a renowned academic, finds himself Minister of the family, even though he is drowned in the midst of the events which shake his own.",Louis-Do de Lencquesaing,57
ECCO,(2019),"
Crime, Drama, Thriller            ",123 min,4.8,"
    A former assassin living a new life in the shadows with his family emerges from hiding to discover the origin of his lethal beginnings.",Ben Medina,154
Siccin 6,(2019),"
Horror            ",95 min,5.9,"
    A girl is haunted by an evil spirit in her family home. Several bad things begin to happen around her house and to her family members. An old character rises back and tries to save the family from their doomed fate.",Alper Mestçi,746
Konusan Hayvanlar,(2019),"
Comedy, Family            ",90 min,4.5,"
Add a Plot
",Mustafa Kotan,12
The Set Up,(2019),"
Crime, Drama            ",103 min,4.6,"
    A former drug smuggler and a confidence artist gets more than she bargains for when she is hired by a down on his luck businessman to assist with his scheme to marry a wealthy heiress. ...                See full summary »
",Niyi Akinmolayan,78
Sleeping with My Student,(2019),"
Thriller            ",87 min,4.6,"
    New school headmaster and single mother Kathy discovers her vacation fling with charming 18-year-old Ian was no accident when he transfers to her school targeting Kathy and her teenage ...                See full summary »
",Tom Shell,239
Love Me Tender,(2019),"
Drama            ",83 min,6.6,"
    Suffering from agoraphobia, Seconda is unable to leave her house. When she finally succeeds, new challenges push this assertive super anti-heroine's limits even further.",Klaudia Reynicke,46
Kobbari Matta,(2019),"
Comedy            ",110 min,5.8,"
    Kobbarimatta is a Comedy Spoof Telugu Film. Pedharayudu (Sampoornesh) is a village headman. He got misunderstandings with his Son Androidu and other family members. How they solved those problems and united is rest of the story.",Rupak Ronaldson,86
The Secret of China,(2019),"
Adventure, History, War            ",,3.3,"
    Based on historical events, ""Red China"" tells the story of American journalist Edgar Snow (Kenan Heppe), venturing into the Red Territory to get the scoop and experience of a lifetime: ...                See full summary »
",Jixing Wang,11
"Blood, Passion & Coffee",(2019),"
Drama            ",123 min,7.2,"
    A story inspired by real events, which revolves around a coffee producing family (from Marcala, Honduras) in which their harvest is impacted by the plague of rust and low coffee prices. ...                See full summary »
",Carlos Membreño,6
Love Struck Sick,(2019),"
Romance            ",92 min,4.7,"
    This movie is all about one of the greatest YouTubers of all time, AlienAmerican. He is legendary, a man of his time, yet so far beyond it as well.",Don Tjernagel,42
Treasure Trouble,(2019),"
Adventure, Comedy, Mystery            ",85 min,6.6,"
    After finding a gun on the beach, a young woman is caught up in a night of cascading misadventures as she teams up with her rich ex-boyfriend and his fiancée to return the gun to the Russian mob in exchange for her kidnapped dog.",Dan Erickson,10
Kalki,(I) (2019),"
Action, Crime, Drama            ",141 min,4.7,"
    Nanchenkotta is beset by problems and civilian life in here is a nightmare. However, the arrival of a fearless police officer with a strong sense of justice is about to change Nanchenkotta's law and order situation - once and for all.",Praveen Prabharam,356
Singham,(2019),"
Action, Drama            ",141 min,5.3,"
    After taking charge as the DSP of Singham Khurd, Dilsher Sikhon sets out to end the drug addiction among the youth of Punjab. This sets him against Bhuller, a vicious business tycoon with connections in high places.",Navaniat Singh,69
Hecho Bolsa,(2019),"
Comedy            ",96 min,4.9,"
    A fifty year old man living an existential crisis, with family, friends and children, tries to escape from debts and stress.",Felipe Izquierdo,15
The Girl with a Bracelet,(2019),"
Crime, Drama            ",95 min,6.8,"
    A teenager stands trial for murdering her best friend.",Stéphane Demoustier,396
Meninges,(2019),"
Thriller            ",,8.5,"
    Ahmed spend time in a block buildings with his friend Emir.",Haris Sehovic,6
Trouble,(I) (2019),"
Animation, Comedy, Family            ",87 min,6.1,"
    A pampered dog named Trouble must learn to live in the real world, while trying to escape from his former owner's greedy children.",Kevin Johnson,882
The Kitchen,(2019),"
Action, Crime, Drama            ",102 min,5.4,"
    The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.",Andrea Berloff,12157
Parey Hut Love Official,(2019),"
Comedy, Drama, Romance            ",,5.0,"
Add a Plot
",Asim Raza,5
Santa Clara,(2019),"
Drama, Western            ",86 min,6.3,"
    Santiago, a man in his 40's works as a cowboy, lives in the outsides of remote village in Beni. His past is unclear, rumors say that he's a fugitive, an assassin or a bandit. A work offer ...                See full summary »
",Pedro Antonio Gutiérrez,18
My Name Is Kim Bok Dong,(2019),,107 min,4.2,"
    In 1992, Kim reported herself as a victim of sexual slavery during World War II. She looks to get a government's apology who denied its responsibility regarding this crime.",,26
Jonas Brothers Happiness Begins Tour,(2019),,,9.8,"
Add a Plot
",Anthony Mandler,11
Parents - Wir Eltern,(2019),"
Comedy, Drama            ",,6.8,"
    A couple from Zurich believes they did everything right. Then their adolescent children start disrupting the family system. Until the parents move out. An autofictional grotesque.",Eric Bergkraut,40
Khayal Maata,(2019),"
Comedy, Crime, Drama            ",125 min,5.0,"
    A group of close friends who committed a robbery while they were young, then after 30 years they gather again to remember the causes that made them commit their crime.",Khalid Marie,557
Superstar,(2019),"
Drama, Musical, Romance            ",135 min,5.7,"
    An aspiring actress falls in love with a big movie star.",Mohammed Ehteshamuddin,438
Parey Hut Love,(2019),"
Comedy, Drama, Romance            ",139 min,6.3,"
    A story of an unlikely romance between a young free-willed, commitment-phobic aspiring actor, Sheheryar, and a beautiful strong-willed expat, Saniya, who meet and fall in love over a series of unplanned encounters at destination weddings.",Asim Raza,410
Recontra Loca,(2019),"
Comedy            ",,6.2,"
Add a Plot
",Giovanni Ciccia,32
Mahasiswi Baru,(2019),"
Comedy, Drama            ",96 min,5.8,"
    At her old age, Lastri (Widyawati) is eager to go to college. She befriends with other students and they form a gang who often makes fuss on campus and causes chaos.",Monty Tiwa,64
The Fever,(II) (2019),"
Thriller            ",98 min,6.4,"
    Justino, a 45-year-old Desana native, is a security guard at the Manaus harbor. As his daughter prepares to study medicine in Brasilia, Justino is taken over by a mysterious fever.",Maya Da-Rin,112
Wedding Agreement,(2019),"
Drama, Romance            ",100 min,5.8,"
    Tari (Indah Permatasari) is immediately confronted with a marriage agreement with Bian (Refal Hady) which says that they would divorce within one year because their marriage is only for the sake of his parents.",Archie Hekagery,107
El día que me muera. Mi gran velorio,(2019),"
Comedy            ",90 min,6.4,"
    Dina has not seen her three children for many years. They escaped from her excessive control and live abroad. She can't overcome her aerophobia to visit them. She doesn't stand anymore ...                See full summary »
",Néstor Sánchez Sotelo,27
BoBoiBoy Movie 2,(2019),"
Animation, Action, Adventure            ",120 min,8.0,"
    BoBoiBoy and his friends have been attacked by a villain named Retak'ka who is the original user of BoBoiBoy's elemental powers. He seeks to take back his elemental powers from BoBoiBoy to ...                See full summary »
",Nizam Razak,347
Welad Rizk 2,(2019),"
Action, Comedy, Crime            ",103 min,7.2,"
    Three years after the events of the first part, the four brothers try their best to keep their oath to stay away from the life of crime. As one unexpected incident takes place in their ...                See full summary »
",Tarek Alarian,1246
Manmadhudu 2,(2019),"
Comedy, Drama, Romance            ",155 min,4.9,"
    Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",Rahul Ravindran,479
Nerkonda Paarvai,(2019),"
Action, Drama, Thriller            ",157 min,8.2,"
    When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",H. Vinoth,4845
